CD_REFNIS,tx_descr_nl,tx_descr_fr,TX_FST_NAME,MS_FREQUENCY,YEAR,GENDER
11001,Aartselaar,Aartselaar,Amy,5,2009,F
11001,Aartselaar,Aartselaar,Andr‚e,5,2009,F
11001,Aartselaar,Aartselaar,Anneke,5,2009,F
11001,Aartselaar,Aartselaar,Bo,5,2009,F
11001,Aartselaar,Aartselaar,Catharina,5,2009,F
11001,Aartselaar,Aartselaar,Christa,5,2009,F
11001,Aartselaar,Aartselaar,Claudia,5,2009,F
11001,Aartselaar,Aartselaar,Clementina,5,2009,F
11001,Aartselaar,Aartselaar,Conny,5,2009,F
11001,Aartselaar,Aartselaar,Cornelia,5,2009,F
11001,Aartselaar,Aartselaar,C‚line,5,2009,F
11001,Aartselaar,Aartselaar,Dina,5,2009,F
11001,Aartselaar,Aartselaar,Edith,5,2009,F
11001,Aartselaar,Aartselaar,Elena,5,2009,F
11001,Aartselaar,Aartselaar,Emilia,5,2009,F
11001,Aartselaar,Aartselaar,Fabienne,5,2009,F
11001,Aartselaar,Aartselaar,Fien,5,2009,F
11001,Aartselaar,Aartselaar,Francina,5,2009,F
11001,Aartselaar,Aartselaar,Gaby,5,2009,F
11001,Aartselaar,Aartselaar,Gerarda,5,2009,F
11001,Aartselaar,Aartselaar,Gilberta,5,2009,F
11001,Aartselaar,Aartselaar,Gina,5,2009,F
11001,Aartselaar,Aartselaar,Griet,5,2009,F
11001,Aartselaar,Aartselaar,Helga,5,2009,F
11001,Aartselaar,Aartselaar,H‚lŠne,5,2009,F
11001,Aartselaar,Aartselaar,Irena,5,2009,F
11001,Aartselaar,Aartselaar,Isabella,5,2009,F
11001,Aartselaar,Aartselaar,Jeannette,5,2009,F
11001,Aartselaar,Aartselaar,Juliana,5,2009,F
11001,Aartselaar,Aartselaar,Lara,5,2009,F
11001,Aartselaar,Aartselaar,Leentje,5,2009,F
11001,Aartselaar,Aartselaar,Lina,5,2009,F
11001,Aartselaar,Aartselaar,Lydie,5,2009,F
11001,Aartselaar,Aartselaar,Machteld,5,2009,F
11001,Aartselaar,Aartselaar,Margaux,5,2009,F
11001,Aartselaar,Aartselaar,Margo,5,2009,F
11001,Aartselaar,Aartselaar,Marguerite,5,2009,F
11001,Aartselaar,Aartselaar,Marie-Jeanne,5,2009,F
11001,Aartselaar,Aartselaar,Marieke,5,2009,F
11001,Aartselaar,Aartselaar,Marietta,5,2009,F
11001,Aartselaar,Aartselaar,Mieke,5,2009,F
11001,Aartselaar,Aartselaar,Nelly,5,2009,F
11001,Aartselaar,Aartselaar,No‰lla,5,2009,F
11001,Aartselaar,Aartselaar,Olivia,5,2009,F
11001,Aartselaar,Aartselaar,Roza,5,2009,F
11001,Aartselaar,Aartselaar,Yana,5,2009,F
